date_de_tirage,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance,combinaison_gagnante_en_ordre_croissant
2023-09-25 00:00:00,27,2,48,43,3,8,2-3-27-43-48+8
2023-09-23 00:00:00,10,19,28,38,37,7,10-19-28-37-38+7
2023-09-20 00:00:00,41,19,32,42,47,1,19-32-41-42-47+1
2023-09-18 00:00:00,19,26,42,18,20,1,18-19-20-26-42+1
2023-09-16 00:00:00,46,23,21,32,20,10,20-21-23-32-46+10
2023-09-13 00:00:00,12,32,36,6,29,8,6-12-29-32-36+8
2023-09-12 00:00:00,14,34,37,15,45,2,14-15-34-37-45+2
2023-09-10 00:00:00,21,16,9,20,15,1,9-15-16-20-21+1
2023-09-09 00:00:00,26,13,25,12,18,4,12-13-18-25-26+4
2023-09-08 00:00:00,6,39,24,13,43,8,6-13-24-39-43+8
2023-09-01 00:00:00,7,34,6,3,36,7,3-6-7-34-36+7
2023-08-30 00:00:00,1,4,35,39,21,5,1-4-21-35-39+5
2023-08-28 00:00:00,2,16,19,12,6,3,2-6-12-16-19+3
2023-08-26 00:00:00,17,42,25,5,15,7,5-15-17-25-42+7
2023-08-23 00:00:00,49,47,20,3,30,7,3-20-30-47-49+7
2023-08-21 00:00:00,18,34,27,14,44,6,14-18-27-34-44+6
2023-08-19 00:00:00,38,25,40,41,39,7,25-38-39-40-41+7
2023-08-16 00:00:00,48,20,39,8,47,1,8-20-39-47-48+1
2023-08-14 00:00:00,13,10,22,24,16,7,10-13-16-22-24+7
2023-08-11 00:00:00,48,6,8,17,24,10,6-8-17-24-48+10
2023-08-07 00:00:00,24,2,21,36,31,6,2-21-24-31-36+6
2023-08-05 00:00:00,45,7,29,19,38,8,7-19-29-38-45+8
2023-08-04 00:00:00,18,1,33,9,39,2,1-9-18-33-39+2
2023-08-03 00:00:00,2,22,46,21,49,9,2-21-22-46-49+9
2023-08-02 00:00:00,27,2,36,43,6,5,2-6-27-36-43+5
2023-07-31 00:00:00,26,46,5,12,36,4,5-12-26-36-46+4
2023-07-29 00:00:00,9,17,15,12,26,8,9-12-15-17-26+8
2023-07-26 00:00:00,40,41,28,8,42,2,8-28-40-41-42+2
2023-07-24 00:00:00,28,45,2,15,23,7,2-15-23-28-45+7
2023-07-22 00:00:00,37,1,22,26,31,5,1-22-26-31-37+5
2023-07-19 00:00:00,47,49,20,34,32,1,20-32-34-47-49+1
2023-07-17 00:00:00,24,46,3,22,32,5,3-22-24-32-46+5
2023-07-15 00:00:00,36,48,30,20,40,8,20-30-36-40-48+8
2023-07-10 00:00:00,12,10,37,25,49,2,10-12-25-37-49+2
2023-07-08 00:00:00,5,29,4,10,13,1,4-5-10-13-29+1
2023-07-06 00:00:00,18,48,36,16,45,10,16-18-36-45-48+10
2023-07-01 00:00:00,29,28,25,7,35,2,7-25-28-29-35+2
2023-06-28 00:00:00,12,8,43,46,49,8,8-12-43-46-49+8
2023-06-26 00:00:00,25,8,18,27,37,8,8-18-25-27-37+8
2023-06-24 00:00:00,20,13,27,26,17,4,13-17-20-26-27+4
2023-06-21 00:00:00,2,38,46,27,43,3,2-27-38-43-46+3
2023-06-19 00:00:00,7,45,30,8,20,10,7-8-20-30-45+10
2023-06-17 00:00:00,14,45,37,22,25,3,14-22-25-37-45+3
2023-06-14 00:00:00,42,22,9,33,45,3,9-22-33-42-45+3
2023-06-12 00:00:00,35,23,16,42,8,2,8-16-23-35-42+2
2023-06-11 00:00:00,2,19,13,23,36,3,2-13-19-23-36+3
2023-06-09 00:00:00,28,15,3,46,36,2,3-15-28-36-46+2
2023-06-05 00:00:00,36,40,5,30,43,1,5-30-36-40-43+1
2023-06-03 00:00:00,44,15,37,34,40,8,15-34-37-40-44+8
2023-06-02 00:00:00,24,13,23,6,34,4,6-13-23-24-34+4
2023-05-31 00:00:00,36,3,33,34,42,2,3-33-34-36-42+2
2023-05-29 00:00:00,42,4,23,15,12,1,4-12-15-23-42+1
2023-05-27 00:00:00,34,2,13,15,31,8,2-13-15-31-34+8
2023-05-24 00:00:00,27,26,8,9,15,4,8-9-15-26-27+4
2023-05-22 00:00:00,47,2,14,33,30,5,2-14-30-33-47+5
2023-05-20 00:00:00,25,9,34,31,32,5,9-25-31-32-34+5
2023-05-17 00:00:00,32,29,37,20,5,9,5-20-29-32-37+9
2023-05-15 00:00:00,19,41,42,43,45,2,19-41-42-43-45+2
2023-05-13 00:00:00,29,8,37,22,39,10,8-22-29-37-39+10
2023-05-08 00:00:00,11,7,15,23,19,4,7-11-15-19-23+4
2023-05-07 00:00:00,12,15,21,29,48,6,12-15-21-29-48+6
2023-05-06 00:00:00,12,28,32,45,38,9,12-28-32-38-45+9
2023-05-04 00:00:00,6,48,11,49,46,2,6-11-46-48-49+2
2023-04-29 00:00:00,49,19,22,40,45,2,19-22-40-45-49+2
2023-04-26 00:00:00,36,1,45,9,14,3,1-9-14-36-45+3
2023-04-24 00:00:00,4,41,16,13,6,10,4-6-13-16-41+10
2023-04-22 00:00:00,36,12,7,11,38,6,7-11-12-36-38+6
2023-04-19 00:00:00,16,41,26,28,13,8,13-16-26-28-41+8
2023-04-17 00:00:00,9,32,7,47,1,1,1-7-9-32-47+1
2023-04-15 00:00:00,39,28,26,5,29,10,5-26-28-29-39+10
2023-04-12 00:00:00,2,3,29,30,31,10,2-3-29-30-31+10
2023-04-11 00:00:00,30,3,15,41,16,9,3-15-16-30-41+9
2023-04-10 00:00:00,1,15,12,30,44,1,1-12-15-30-44+1
2023-04-09 00:00:00,4,19,22,18,7,10,4-7-18-19-22+10
2023-04-03 00:00:00,25,48,16,12,49,10,12-16-25-48-49+10
2023-04-02 00:00:00,40,34,36,28,15,10,15-28-34-36-40+10
2023-04-01 00:00:00,29,1,43,37,27,7,1-27-29-37-43+7
2023-03-29 00:00:00,41,44,38,8,10,2,8-10-38-41-44+2
2023-03-27 00:00:00,25,19,12,11,28,4,11-12-19-25-28+4
2023-03-25 00:00:00,21,30,6,31,10,1,6-10-21-30-31+1
2023-03-22 00:00:00,19,8,46,26,9,9,8-9-19-26-46+9
2023-03-20 00:00:00,1,9,19,13,11,8,1-9-11-13-19+8
2023-03-18 00:00:00,18,45,41,4,17,2,4-17-18-41-45+2
2023-03-15 00:00:00,30,15,34,46,41,2,15-30-34-41-46+2
2023-03-13 00:00:00,12,21,48,29,20,3,12-20-21-29-48+3
2023-03-07 00:00:00,22,7,16,30,2,1,2-7-16-22-30+1
2023-03-06 00:00:00,46,39,23,45,13,7,13-23-39-45-46+7
2023-03-05 00:00:00,17,22,35,25,19,6,17-19-22-25-35+6
2023-03-04 00:00:00,2,49,1,36,14,9,1-2-14-36-49+9
2023-02-27 00:00:00,18,10,40,34,31,10,10-18-31-34-40+10
2023-02-25 00:00:00,20,13,46,40,25,7,13-20-25-40-46+7
2023-02-22 00:00:00,32,46,27,1,16,1,1-16-27-32-46+1
2023-02-20 00:00:00,30,34,8,1,13,4,1-8-13-30-34+4
2023-02-18 00:00:00,31,38,22,32,34,2,22-31-32-34-38+2
2023-02-15 00:00:00,22,12,30,35,33,10,12-22-30-33-35+10
2023-02-13 00:00:00,10,3,40,26,22,4,3-10-22-26-40+4
2023-02-12 00:00:00,47,14,28,3,25,10,3-14-25-28-47+10
2023-02-10 00:00:00,22,13,46,49,3,1,3-13-22-46-49+1
2023-02-09 00:00:00,6,7,37,25,47,9,6-7-25-37-47+9
2023-02-08 00:00:00,13,14,27,4,20,1,4-13-14-20-27+1
2023-02-01 00:00:00,10,16,15,6,24,8,6-10-15-16-24+8
2023-01-30 00:00:00,9,16,32,30,23,6,9-16-23-30-32+6
2023-01-28 00:00:00,5,12,42,9,26,2,5-9-12-26-42+2
2023-01-25 00:00:00,26,21,40,27,31,1,21-26-27-31-40+1
2023-01-23 00:00:00,6,40,17,15,3,1,3-6-15-17-40+1
2023-01-21 00:00:00,33,48,25,23,41,1,23-25-33-41-48+1
2023-01-18 00:00:00,44,14,30,25,17,3,14-17-25-30-44+3
2023-01-16 00:00:00,4,13,27,46,21,4,4-13-21-27-46+4
2023-01-14 00:00:00,26,28,40,37,6,8,6-26-28-37-40+8
2023-01-11 00:00:00,48,19,37,16,29,1,16-19-29-37-48+1
2023-01-07 00:00:00,5,30,40,35,17,6,5-17-30-35-40+6
2023-01-05 00:00:00,42,43,32,40,15,4,15-32-40-42-43+4
2023-01-04 00:00:00,11,27,30,48,49,8,11-27-30-48-49+8
2023-01-03 00:00:00,31,44,40,13,28,6,13-28-31-40-44+6
2023-01-02 00:00:00,15,7,3,42,4,4,3-4-7-15-42+4
2022-12-31 00:00:00,47,30,15,33,4,10,4-15-30-33-47+10
2022-12-28 00:00:00,27,13,2,11,36,10,2-11-13-27-36+10
2022-12-26 00:00:00,10,33,47,1,7,10,1-7-10-33-47+10
2022-12-24 00:00:00,46,31,20,45,39,10,20-31-39-45-46+10
2022-12-21 00:00:00,9,35,23,37,28,7,9-23-28-35-37+7
2022-12-19 00:00:00,15,14,21,34,45,5,14-15-21-34-45+5
2022-12-17 00:00:00,46,29,25,8,34,7,8-25-29-34-46+7
2022-12-14 00:00:00,3,17,4,36,22,6,3-4-17-22-36+6
2022-12-12 00:00:00,27,8,32,11,4,10,4-8-11-27-32+10
2022-12-11 00:00:00,24,41,19,35,27,9,19-24-27-35-41+9
2022-12-10 00:00:00,44,13,3,27,49,9,3-13-27-44-49+9
2022-12-09 00:00:00,9,20,44,1,39,9,1-9-20-39-44+9
2022-12-03 00:00:00,6,31,45,14,3,9,3-6-14-31-45+9
2022-12-02 00:00:00,11,1,15,48,47,7,1-11-15-47-48+7
2022-12-01 00:00:00,40,42,2,7,10,2,2-7-10-40-42+2
2022-11-30 00:00:00,18,12,32,9,23,9,9-12-18-23-32+9
2022-11-28 00:00:00,1,47,22,33,4,1,1-4-22-33-47+1
2022-11-26 00:00:00,1,49,29,18,37,4,1-18-29-37-49+4
2022-11-23 00:00:00,17,49,18,28,11,7,11-17-18-28-49+7
2022-11-21 00:00:00,12,1,31,45,17,7,1-12-17-31-45+7
2022-11-19 00:00:00,37,33,42,36,31,3,31-33-36-37-42+3
2022-11-16 00:00:00,35,5,39,19,11,9,5-11-19-35-39+9
2022-11-14 00:00:00,47,6,20,9,41,9,6-9-20-41-47+9
2022-11-07 00:00:00,7,32,42,45,12,6,7-12-32-42-45+6
2022-11-06 00:00:00,31,18,34,27,26,8,18-26-27-31-34+8
2022-11-05 00:00:00,14,3,10,44,8,2,3-8-10-14-44+2
2022-11-04 00:00:00,6,19,48,32,10,5,6-10-19-32-48+5
2022-10-31 00:00:00,22,8,19,7,15,5,7-8-15-19-22+5
2022-10-29 00:00:00,42,23,2,8,35,7,2-8-23-35-42+7
2022-10-26 00:00:00,24,7,18,15,9,10,7-9-15-18-24+10
2022-10-24 00:00:00,49,34,36,12,42,10,12-34-36-42-49+10
2022-10-22 00:00:00,14,21,48,16,26,3,14-16-21-26-48+3
2022-10-19 00:00:00,30,40,3,21,2,4,2-3-21-30-40+4
2022-10-17 00:00:00,20,35,27,19,12,4,12-19-20-27-35+4
2022-10-15 00:00:00,39,42,38,29,49,3,29-38-39-42-49+3
2022-10-12 00:00:00,28,43,29,38,44,3,28-29-38-43-44+3
2022-10-10 00:00:00,14,9,16,12,33,2,9-12-14-16-33+2
2022-10-09 00:00:00,12,26,28,19,21,2,12-19-21-26-28+2
2022-10-08 00:00:00,28,16,11,32,49,10,11-16-28-32-49+10
2022-10-01 00:00:00,41,28,3,4,23,8,3-4-23-28-41+8
2022-09-28 00:00:00,3,46,25,10,13,5,3-10-13-25-46+5
2022-09-26 00:00:00,46,44,37,2,39,4,2-37-39-44-46+4
2022-09-24 00:00:00,43,9,40,28,13,3,9-13-28-40-43+3
2022-09-21 00:00:00,12,38,28,24,36,3,12-24-28-36-38+3
2022-09-19 00:00:00,25,24,31,34,9,9,9-24-25-31-34+9
2022-09-17 00:00:00,20,11,36,17,28,10,11-17-20-28-36+10
2022-09-14 00:00:00,43,33,42,22,37,4,22-33-37-42-43+4
2022-09-11 00:00:00,25,18,3,8,37,6,3-8-18-25-37+6
2022-09-07 00:00:00,8,2,11,47,40,7,2-8-11-40-47+7
2022-09-05 00:00:00,12,9,48,7,29,4,7-9-12-29-48+4
2022-09-04 00:00:00,43,6,25,34,9,5,6-9-25-34-43+5
2022-09-03 00:00:00,45,12,44,15,9,1,9-12-15-44-45+1
2022-09-02 00:00:00,43,47,16,39,4,5,4-16-39-43-47+5
2022-08-31 00:00:00,47,25,42,2,30,10,2-25-30-42-47+10
2022-08-29 00:00:00,17,23,13,20,45,8,13-17-20-23-45+8
2022-08-27 00:00:00,15,41,33,44,5,10,5-15-33-41-44+10
2022-08-24 00:00:00,40,48,36,22,3,5,3-22-36-40-48+5
2022-08-22 00:00:00,3,18,24,11,14,10,3-11-14-18-24+10
2022-08-20 00:00:00,41,23,25,1,49,2,1-23-25-41-49+2
2022-08-17 00:00:00,12,26,48,13,35,1,12-13-26-35-48+1
2022-08-15 00:00:00,43,41,5,46,34,5,5-34-41-43-46+5
2022-08-13 00:00:00,3,18,42,13,43,9,3-13-18-42-43+9
2022-08-10 00:00:00,32,17,15,19,29,10,15-17-19-29-32+10
2022-08-08 00:00:00,18,26,10,30,15,7,10-15-18-26-30+7
2022-08-06 00:00:00,45,24,15,10,49,2,10-15-24-45-49+2
2022-08-01 00:00:00,19,35,48,3,42,10,3-19-35-42-48+10
2022-07-30 00:00:00,31,33,16,29,39,2,16-29-31-33-39+2
2022-07-27 00:00:00,49,15,39,31,46,4,15-31-39-46-49+4
2022-07-25 00:00:00,44,48,17,12,35,8,12-17-35-44-48+8
2022-07-23 00:00:00,34,1,32,14,11,9,1-11-14-32-34+9
2022-07-20 00:00:00,1,11,23,41,34,9,1-11-23-34-41+9
2022-07-18 00:00:00,3,34,29,7,11,4,3-7-11-29-34+4
2022-07-16 00:00:00,24,38,33,12,20,2,12-20-24-33-38+2
2022-07-13 00:00:00,38,19,10,26,7,8,7-10-19-26-38+8
2022-07-12 00:00:00,7,31,8,48,32,5,7-8-31-32-48+5
2022-07-11 00:00:00,37,20,15,5,17,2,5-15-17-20-37+2
2022-07-09 00:00:00,47,45,35,42,19,2,19-35-42-45-47+2
2022-07-05 00:00:00,6,34,14,33,18,6,6-14-18-33-34+6
2022-07-03 00:00:00,10,7,46,16,35,5,7-10-16-35-46+5
2022-07-02 00:00:00,24,38,41,18,5,7,5-18-24-38-41+7
2022-06-29 00:00:00,42,40,35,25,12,6,12-25-35-40-42+6
2022-06-27 00:00:00,18,39,45,14,21,8,14-18-21-39-45+8
2022-06-25 00:00:00,5,37,14,6,2,1,2-5-6-14-37+1
2022-06-22 00:00:00,34,19,3,1,43,3,1-3-19-34-43+3
2022-06-20 00:00:00,37,35,3,24,31,4,3-24-31-35-37+4
2022-06-18 00:00:00,35,43,41,22,16,7,16-22-35-41-43+7
2022-06-15 00:00:00,12,24,1,13,5,9,1-5-12-13-24+9
2022-06-13 00:00:00,20,24,5,44,28,6,5-20-24-28-44+6
2022-06-08 00:00:00,20,8,33,27,35,2,8-20-27-33-35+2
2022-06-07 00:00:00,43,9,15,47,45,9,9-15-43-45-47+9
2022-06-06 00:00:00,44,24,16,21,34,7,16-21-24-34-44+7
2022-06-04 00:00:00,32,13,5,21,6,3,5-6-13-21-32+3
2022-05-30 00:00:00,42,26,31,13,16,2,13-16-26-31-42+2
2022-05-28 00:00:00,12,48,38,35,9,5,9-12-35-38-48+5
2022-05-25 00:00:00,35,27,8,30,34,5,8-27-30-34-35+5
2022-05-23 00:00:00,15,44,5,30,45,5,5-15-30-44-45+5
2022-05-21 00:00:00,32,26,44,18,21,10,18-21-26-32-44+10
2022-05-18 00:00:00,28,6,10,35,32,9,6-10-28-32-35+9
2022-05-16 00:00:00,41,4,45,18,24,6,4-18-24-41-45+6
2022-05-14 00:00:00,7,35,48,39,11,8,7-11-35-39-48+8
2022-05-12 00:00:00,5,31,10,19,28,4,5-10-19-28-31+4
2022-05-11 00:00:00,22,36,40,13,14,9,13-14-22-36-40+9
2022-05-10 00:00:00,8,16,17,3,47,9,3-8-16-17-47+9
2022-05-09 00:00:00,38,1,48,30,20,3,1-20-30-38-48+3
2022-05-03 00:00:00,8,43,7,21,34,6,7-8-21-34-43+6
2022-05-02 00:00:00,3,5,49,38,25,10,3-5-25-38-49+10
2022-05-01 00:00:00,49,39,45,41,1,5,1-39-41-45-49+5
2022-04-30 00:00:00,35,39,16,11,23,8,11-16-23-35-39+8
2022-04-27 00:00:00,29,1,3,35,8,8,1-3-8-29-35+8
2022-04-25 00:00:00,6,23,32,49,48,4,6-23-32-48-49+4
2022-04-23 00:00:00,12,41,47,46,6,6,6-12-41-46-47+6
2022-04-20 00:00:00,11,22,15,12,21,7,11-12-15-21-22+7
2022-04-18 00:00:00,43,35,6,31,36,4,6-31-35-36-43+4
2022-04-16 00:00:00,46,27,42,23,8,3,8-23-27-42-46+3
2022-04-13 00:00:00,15,37,4,20,6,10,4-6-15-20-37+10
2022-04-07 00:00:00,46,25,47,2,35,10,2-25-35-46-47+10
2022-04-06 00:00:00,6,43,29,13,27,2,6-13-27-29-43+2
2022-04-05 00:00:00,2,12,38,15,10,5,2-10-12-15-38+5
2022-04-04 00:00:00,36,45,9,24,17,7,9-17-24-36-45+7
2022-03-30 00:00:00,32,19,34,26,27,9,19-26-27-32-34+9
2022-03-28 00:00:00,44,18,28,49,30,5,18-28-30-44-49+5
